Los Angeles Mission College	lamission.edu	Sylmar	CA
Laney College	laney.edu	Oakland	CA
Los Angeles Southwest College	lasc.edu	Los Angeles	CA
La Sierra University	lasierra.edu	Riverside	CA
Las Positas College	laspositascollege.edu	Livermore	CA
Los Angeles Trade-Tech Community College	lattc.edu	Los Angeles	CA
Laurus College	lauruscollege.edu	Santa Maria	CA
Los Angeles Valley College	lavc.edu	Valley Glen	CA
University of La Verne	laverne.edu	La Verne	CA
UCLA School of Law	ucla.edu	Los Angeles	CA
Long Beach City College	lbcc.edu	Long Beach	CA
Life Chiropractic College West	lifewest.edu	Hayward	CA
Loma Linda University	llu.edu	Loma Linda	CA
Loyola Marymount University	lmu.edu	Los Angeles	CA
Los Medanos College	losmedanos.edu	Pittsburg	CA
Los Rios Community College District	losrios.edu	Sacramento	CA
Lake Tahoe Community College	ltcc.edu	South Lake Tahoe	CA
College of Marin	marin.edu	Kentfield	CA
Marymount California University	marymountcalifornia.edu	Rancho Palos Verdes	CA
The Master's College	masters.edu	Santa Clarita	CA
Merced Community College	mccd.edu	Merced	CA
Mills College	mills.edu	Oakland	CA
MiraCosta College	miracosta.edu	Oceanside	CA
Modesto Junior College	mjc.edu	Modesto	CA
Mount San Jacinto College	msjc.edu	(multiple locations)	CA
Mount San Antonio College	mtsac.edu	Walnut	CA
Napa Valley College	napavalley.edu	Napa	CA
Notre Dame de Namur University	ndnu.edu	Belmont	CA
NewSchool of Architecture and Design	newschoolarch.edu	San Diego	CA
Norco College	norcocollege.edu	Norco	CA
Naval Postgraduate School	nps.edu	Monterey	CA
Ohlone College	ohlone.edu	Fremont	CA
Orange Coast College	orangecoastcollege.edu	Costa Mesa	CA
Otis College of Art and Design	otis.edu	Los Angeles	CA
Occidental College	oxy.edu	Los Angeles	CA
University of the Pacific	pacific.edu	Stockton	CA
Pacific College of Oriental Medicine	pacificcollege.edu	San Diego	CA
Palomar College	palomar.edu	San Marcos	CA
Pasadena City College	pasadena.edu	Pasadena	CA
Pepperdine University	pepperdine.edu	Malibu	CA
Peralta Community College District	peralta.edu	Oakland	CA
Pierce College	piercecollege.edu	Woodland Hills	CA
Pitzer College	pitzer.edu	Claremont	CA
Pacific Lutheran Theological Seminary	plts.edu	Berkeley	CA
