,datetime,IP,startYear,endYear,num_uni,num_author,CL,TACL,ACL_C,NAACL_C,EMNLP_C,CoNLL_C,EACL_C,COLING,IJCNLP,WKSPDEMO
78,2020-02-12 22:39:40.276752,91.194.245.220,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
79,2020-02-12 23:05:26.248665,209.17.96.242,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
80,2020-02-12 23:28:21.206012,98.234.94.202,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
81,2020-02-12 23:28:41.998608,77.206.182.55,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
82,2020-02-12 23:41:56.365258,78.41.93.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
83,2020-02-12 23:45:46.743850,78.41.93.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
84,2020-02-12 23:47:25.591154,31.44.255.230,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
85,2020-02-12 23:50:58.705775,78.41.93.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
86,2020-02-12 23:52:57.885957,31.44.255.230,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
87,2020-02-12 23:55:10.438890,50.210.46.65,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
88,2020-02-12 23:57:34.540481,31.44.255.230,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
89,2020-02-13 00:12:46.342965,60.191.52.254,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
90,2020-02-13 00:12:52.516835,79.133.90.150,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
91,2020-02-13 00:14:06.259157,79.133.90.150,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
92,2020-02-13 00:15:37.035301,79.133.90.150,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
93,2020-02-13 00:26:23.543344,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
94,2020-02-13 00:26:24.987162,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
95,2020-02-13 00:26:26.420543,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
96,2020-02-13 00:26:28.121236,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
97,2020-02-13 00:26:29.561960,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
98,2020-02-13 00:26:30.989102,44.225.84.206,2010,2019,100,100,3,3,3,3,3,2,2,2,2,1
